Bench mbasis, FFT prime p = 882705526964617217, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
32	5	16	0.00173385	0.00201341	0.00164283	0.00203621
32	5	32	0.00471022	0.00619295	0.00438742	0.00630257
32	5	64	0.01465077	0.02141828	0.01357352	0.02155795
32	5	128	0.05021206	0.07877786	0.04634057	0.08200539
32	7	2	0.00019992	0.00017109	0.00019107	0.00017083
32	7	4	0.00036696	0.00033301	0.00034649	0.00033438
32	7	8	0.00082422	0.00082653	0.00076136	0.00083497
32	7	16	0.00205106	0.00234637	0.00185968	0.00236685
32	7	32	0.00585900	0.00760795	0.00525272	0.00768770
32	7	64	0.01914500	0.02668020	0.01675660	0.02711078
32	7	128	0.06777738	0.10022364	0.05864365	0.10159789
32	9	2	0.00020284	0.00017053	0.00019256	0.00017118
32	9	4	0.00042530	0.00037575	0.00038287	0.00036460
32	9	8	0.00090205	0.00089424	0.00081569	0.00090404
32	9	16	0.00236443	0.00261280	0.00206331	0.00265726
32	9	32	0.00712328	0.00862266	0.00604391	0.00881476
32	9	64	0.02378969	0.03104356	0.01956509	0.03188883
32	9	128	0.08615392	0.11680247	0.06929771	0.11986767
32	11	2	0.00020790	0.00017042	0.00019438	0.00017014
32	11	4	0.00045409	0.00038389	0.00041035	0.00038682
32	11	8	0.00102657	0.00096776	0.00089482	0.00098102
32	11	16	0.00275123	0.00288707	0.00228023	0.00292307
32	11	32	0.00830922	0.00946699	0.00661953	0.00973639
32	11	64	0.02821081	0.03433429	0.02203675	0.03546599
32	11	128	0.10288394	0.13013140	0.07821069	0.13428069
32	13	2	0.00022824	0.00016976	0.00020544	0.00017021
32	13	4	0.00045652	0.00038197	0.00040555	0.00038582
32	13	8	0.00110690	0.00100634	0.00093307	0.00102810
32	13	16	0.00305130	0.00300774	0.00241463	0.00308221
32	13	32	0.00949318	0.01005684	0.00711073	0.01044205
32	13	64	0.03292745	0.03679293	0.02384503	0.03805015
32	13	128	0.12076360	0.13894656	0.08506072	0.14473755
32	15	2	0.00023467	0.00016806	0.00020867	0.00016927
32	15	4	0.00047307	0.00038703	0.00040648	0.00038040
32	15	8	0.00116399	0.00101125	0.00094154	0.00103466
32	15	16	0.00342440	0.00314555	0.00259119	0.00325023
32	15	32	0.01075591	0.01051660	0.00762750	0.01091150
32	15	64	0.03753351	0.03808950	0.02518752	0.03976595
32	15	128	0.13870447	0.14487865	0.09040453	0.15162266
32	17	2	0.00025701	0.00018477	0.00021656	0.00018609
32	17	4	0.00052502	0.00040782	0.00044760	0.00041102
32	17	8	0.00132728	0.00105194	0.00102502	0.00107836
32	17	16	0.00373391	0.00317309	0.00267675	0.00330297
32	17	32	0.01190783	0.01059790	0.00784700	0.01112678
32	17	64	0.04187915	0.03865041	0.02588652	0.04099534
32	17	128	0.15736587	0.14624719	0.09321628	0.15485215
32	19	2	0.00025517	0.00018145	0.00022277	0.00018248
32	19	4	0.00052940	0.00039250	0.00043794	0.00040115
32	19	8	0.00134462	0.00101659	0.00100113	0.00105589
32	19	16	0.00394946	0.00305964	0.00264097	0.00321305
32	19	32	0.01311268	0.01043008	0.00795953	0.01107511
32	19	64	0.04689978	0.03767325	0.02645257	0.04036555
32	19	128	0.17413699	0.14273959	0.09471082	0.15462500
32	21	2	0.00025382	0.00017578	0.00021038	0.00017719
32	21	4	0.00053444	0.00037945	0.00043281	0.00038936
32	21	8	0.00142185	0.00100110	0.00101740	0.00103985
32	21	16	0.00432912	0.00301493	0.00267170	0.00316455
32	21	32	0.01446477	0.01006516	0.00799432	0.01084889
32	21	64	0.05110927	0.03603026	0.02628687	0.03939220
32	21	128	0.19282020	0.13845689	0.09531123	0.14982581
32	23	2	0.00025222	0.00016960	0.00020664	0.00017227
32	23	4	0.00057233	0.00037075	0.00043965	0.00038175
32	23	8	0.00152922	0.00096294	0.00101575	0.00100755
32	23	16	0.00472250	0.00289132	0.00275597	0.00313550
32	23	32	0.01548142	0.00939788	0.00795451	0.01027855
32	23	64	0.05562634	0.03337199	0.02581885	0.03737615
32	23	128	0.21045065	0.12522750	0.09193041	0.14101015
32	25	2	0.00024949	0.00016284	0.00020171	0.00016452
32	25	4	0.00058387	0.00035914	0.00043570	0.00036813
32	25	8	0.00160803	0.00089231	0.00102504	0.00095560
32	25	16	0.00492918	0.00261642	0.00266856	0.00286538
32	25	32	0.01657248	0.00839035	0.00760501	0.00955117
32	25	64	0.06078135	0.02923476	0.02454672	0.03409351
32	25	128	0.22791430	0.11117054	0.08701326	0.12761039
32	27	2	0.00024243	0.00015379	0.00019461	0.00015568
32	27	4	0.00057349	0.00032903	0.00042032	0.00034312
32	27	8	0.00168027	0.00080242	0.00099145	0.00087000
32	27	16	0.00521028	0.00229790	0.00253656	0.00260228
32	27	32	0.01767045	0.00711499	0.00720162	0.00848059
32	27	64	0.06554018	0.02484923	0.02315332	0.03016025
32	27	128	0.24766571	0.09084403	0.08003190	0.11127297
32	29	2	0.00023686	0.00014368	0.00019342	0.00014628
32	29	4	0.00056058	0.00029361	0.00039520	0.00031058
32	29	8	0.00172304	0.00070598	0.00094759	0.00077890
32	29	16	0.00547748	0.00191679	0.00239800	0.00226602
32	29	32	0.01891439	0.00564697	0.00663496	0.00710700
32	29	64	0.06903416	0.01873790	0.02092934	0.02465372
32	29	128	0.26548394	0.06751479	0.07172968	0.09103646
32	31	2	0.00022770	0.00013352	0.00018533	0.00014052
32	31	4	0.00056096	0.00025781	0.00038332	0.00028870
32	31	8	0.00165333	0.00056314	0.00085831	0.00065200
32	31	16	0.00565074	0.00145168	0.00218211	0.00184478
32	31	32	0.01994732	0.00389239	0.00598448	0.00557811
32	31	64	0.07428207	0.01189079	0.01815215	0.01862846
32	31	128	0.28156798	0.04074107	0.06168646	0.06723989
