Bench mbasis, random prime p = 610672428373912909, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
64	13	2	0.00104300	0.00083803	0.00099929	0.00086390
64	13	4	0.00189449	0.00162901	0.00175865	0.00166682
64	13	8	0.00418008	0.00421265	0.00379667	0.00423823
64	13	16	0.01026414	0.01212304	0.00902682	0.01228108
64	13	32	0.02915495	0.03981810	0.02481218	0.04013551
64	13	64	0.09277154	0.14024593	0.07754216	0.14419107
64	13	128	0.33072640	0.53175280	0.26992043	0.53913222
64	17	2	0.00108023	0.00086623	0.00100715	0.00084750
64	17	4	0.00212712	0.00183513	0.00193708	0.00182627
64	17	8	0.00467377	0.00459189	0.00412760	0.00462939
64	17	16	0.01199739	0.01369812	0.01000614	0.01371552
64	17	32	0.03548368	0.04574216	0.02827467	0.04684001
64	17	64	0.11978702	0.16796284	0.09141792	0.16871586
64	17	128	0.42769669	0.63858368	0.32097031	0.64344682
64	21	2	0.00111893	0.00085799	0.00102562	0.00085824
64	21	4	0.00219530	0.00185064	0.00197820	0.00184581
64	21	8	0.00505863	0.00479019	0.00423699	0.00483220
64	21	16	0.01368811	0.01490349	0.01074822	0.01504410
64	21	32	0.04211434	0.05104068	0.03115628	0.05166558
64	21	64	0.14563408	0.18821875	0.10281406	0.19056269
64	21	128	0.53124163	0.71383321	0.36536708	0.72896155
64	25	2	0.00116440	0.00087171	0.00103609	0.00085074
64	25	4	0.00244029	0.00196080	0.00211180	0.00196569
64	25	8	0.00586030	0.00532113	0.00469933	0.00520533
64	25	16	0.01592462	0.01591564	0.01167118	0.01617866
64	25	32	0.05020950	0.05563313	0.03487149	0.05604195
64	25	64	0.17271250	0.20082964	0.11147223	0.20653895
64	25	128	0.64142994	0.77714300	0.39797208	0.79181586
64	29	2	0.00118557	0.00086614	0.00105966	0.00084953
64	29	4	0.00252819	0.00196752	0.00212263	0.00195018
64	29	8	0.00630619	0.00532929	0.00481763	0.00552997
64	29	16	0.01804882	0.01648848	0.01229405	0.01683841
64	29	32	0.05749451	0.05689275	0.03610822	0.05881179
64	29	64	0.20216675	0.21145924	0.11873223	0.21737551
64	29	128	0.75569086	0.81384401	0.42184685	0.82908848
64	33	2	0.00139692	0.00109028	0.00130412	0.00110746
64	33	4	0.00301752	0.00244560	0.00258552	0.00241951
64	33	8	0.00738775	0.00642079	0.00584486	0.00649422
64	33	16	0.02095128	0.01965325	0.01533688	0.02006104
64	33	32	0.06631562	0.06672428	0.04515122	0.06805154
64	33	64	0.23511161	0.24664720	0.15250089	0.25112678
64	33	128	0.87676126	0.94204474	0.55604092	0.96649382
64	37	2	0.00137975	0.00105969	0.00127652	0.00107202
64	37	4	0.00300805	0.00237800	0.00254257	0.00234116
64	37	8	0.00764312	0.00625270	0.00581428	0.00631253
64	37	16	0.02207797	0.01905823	0.01525906	0.01962003
64	37	32	0.07172112	0.06510415	0.04563497	0.06732920
64	37	64	0.25572639	0.24016183	0.15324212	0.24811758
64	37	128	0.96162424	0.92322382	0.55736568	0.95780412
64	41	2	0.00135919	0.00103255	0.00120932	0.00100040
64	41	4	0.00300929	0.00222972	0.00245838	0.00223958
64	41	8	0.00788216	0.00599769	0.00577714	0.00614949
64	41	16	0.02323062	0.01840616	0.01506688	0.01901873
64	41	32	0.07751237	0.06320098	0.04548633	0.06580595
64	41	64	0.27723796	0.22903872	0.15073960	0.24019630
64	41	128	1.04750283	0.87679212	0.54630435	0.92194606
64	45	2	0.00133575	0.00098543	0.00116157	0.00095164
64	45	4	0.00317450	0.00216812	0.00246262	0.00217702
64	45	8	0.00820603	0.00571454	0.00564159	0.00582201
64	45	16	0.02464392	0.01733013	0.01487055	0.01802621
64	45	32	0.08243839	0.05845896	0.04369442	0.06126957
64	45	64	0.29788681	0.21131841	0.14639635	0.22469828
64	45	128	1.13156253	0.80608776	0.52270240	0.86180403
64	49	2	0.00129441	0.00093559	0.00112243	0.00090030
64	49	4	0.00322228	0.00209637	0.00245265	0.00212672
64	49	8	0.00856916	0.00528601	0.00553335	0.00551187
64	49	16	0.02568972	0.01561142	0.01413807	0.01654411
64	49	32	0.08682414	0.05191140	0.04285410	0.05578895
64	49	64	0.31781891	0.18876746	0.13567498	0.20558279
64	49	128	1.21078317	0.71660755	0.48553713	0.77886650
64	53	2	0.00125379	0.00087580	0.00105903	0.00084036
64	53	4	0.00312528	0.00191423	0.00229583	0.00193035
64	53	8	0.00854762	0.00467248	0.00519038	0.00489633
64	53	16	0.02665506	0.01360676	0.01329745	0.01460633
64	53	32	0.09097253	0.04415725	0.03799527	0.04865718
64	53	64	0.33367071	0.15574141	0.12274152	0.17465277
64	53	128	1.27925361	0.58820242	0.43420453	0.66421358
64	57	2	0.00119563	0.00081028	0.00104802	0.00082478
64	57	4	0.00302676	0.00168351	0.00218754	0.00176515
64	57	8	0.00879817	0.00403910	0.00493902	0.00430940
64	57	16	0.02744343	0.01101713	0.01214822	0.01231728
64	57	32	0.09509801	0.03435366	0.03406215	0.03954087
64	57	64	0.34909906	0.11850914	0.10665963	0.13965679
64	57	128	1.34474178	0.43672739	0.37158590	0.52420076
64	61	2	0.00113387	0.00073317	0.00097407	0.00074960
64	61	4	0.00288972	0.00143346	0.00193944	0.00145943
64	61	8	0.00844786	0.00316642	0.00432358	0.00344083
64	61	16	0.02800401	0.00794750	0.01065314	0.00933512
64	61	32	0.09829236	0.02242334	0.02848332	0.02844284
64	61	64	0.36415877	0.07220351	0.08681988	0.09695927
64	61	128	1.40896832	0.25973633	0.29196494	0.35739864
128	1	2	0.00615910	0.00593400	0.00636014	0.00593441
128	1	4	0.01132343	0.01098440	0.01129574	0.01114603
128	1	8	0.02174903	0.02155773	0.02231087	0.02144590
128	1	16	0.04165069	0.04218142	0.04157962	0.04281656
128	1	32	0.08240347	0.08676354	0.08494334	0.08883153
128	1	64	0.16398709	0.18605333	0.16641804	0.19191402
128	1	128	0.33054880	0.42159055	0.32391163	0.42377381
128	8	2	0.00616679	0.00571415	0.00608825	0.00578343
128	8	4	0.01153017	0.01115776	0.01118901	0.01092136
128	8	8	0.02167215	0.02234149	0.02170792	0.02278944
128	8	16	0.04328646	0.05095998	0.04178080	0.05062461
128	8	32	0.10549846	0.14178760	0.10092254	0.14336682
128	8	64	0.29326305	0.45168195	0.28046975	0.45039139
128	8	128	0.90907813	1.57171723	0.85514373	1.57637157
128	15	2	0.00630852	0.00573927	0.00618602	0.00554038
128	15	4	0.01189344	0.01133681	0.01115594	0.01108794
128	15	8	0.02316160	0.02371067	0.02167967	0.02429184
